University,Faculty Name,Title,Email,Phone,Profile URL,Source URL,Notes
Adelphi University,Larry Witmer,Trombone Instructor,,,https://www.adelphi.edu/news/larry-witmer/,URL not logged,"Former principal trombonist La Scala Opera Orchestra, associate trombone Metropolitan Opera Orchestra, teaches at both Adelphi and Hofstra Universities"
Austin Peay State University,Evan Clifton,Adjunct Faculty (Trombone),,,https://www.apsu.edu/music/facstaff/area.php,URL not logged,Listed under Brass and Percussion section
Baldwin-Wallace Conservatory of Music,Andrew Mitchell,Lecturer of Trombone,,,(440) 826-2369 main,URL not logged,(440) 826-2368 admission
Baldwin-Wallace Conservatory of Music,Richard Stout,Lecturer of Trombone and Euphonium,,,(440) 826-2369 main,URL not logged,(440) 826-2368 admission
Christopher Newport University,Christopher Espy,Artist in Residence - Trombone,,,(757) 594-7089 (dept),URL not logged,Trombone instructor at CNU; Doctorate of Musical Arts from Rutgers; Solo performances at International Trombone Festival; Principal trombone of Tidewater Winds since 2018; Former Army bandsman 2005-2011; Guest artist with multiple orchestras including Virginia Symphony and Williamsburg Symphony
Cleveland State University,Shachar Israel,Applied Faculty Trombone,,,https://artsandsciences.csuohio.edu/music/shachar-israel,URL not logged,Assistant principal trombone Cleveland Orchestra
Cleveland State University,J.C. Sherman,Applied Faculty - Trombone Tuba and Euphonium,,,https://artsandsciences.csuohio.edu/jc-sherman,URL not logged,Also teaches tuba and euphonium
Cornish College of the Arts,Beserat Tafesse,Trombone Instructor,,,https://www.cornish.edu/faculty-images/,URL not logged,Website: beserattafesse.com
Crane School of Music,Christopher Hernacki,Trombone,,,https://www.potsdam.edu/about/directory/faculty/hernaccf,URL not logged,
Curtis Institute of Music,Matthew Vaughn,Co-Principal Trombone,,,https://www.curtis.edu/person/matthew-vaughn/,URL not logged,"Co-Principal trombone of Philadelphia Orchestra since 2014, Faculty since 2012"
Curtis Institute of Music,Paul Bryan,Trombone Faculty,,,https://www.curtis.edu/person/paul-bryan/,URL not logged,"Distinguished educator, performer, and administrator"
Curtis Institute of Music,Nitzan Haroz,Trombone Faculty,,,https://www.curtis.edu/person/nitzan-haroz/,URL not logged,"Acclaimed trombonist, held principal positions with major orchestras"
Curtis Institute of Music,Blair Bollinger,Trombone Faculty,,,https://www.curtis.edu/person/blair-bollinger/,URL not logged,"1986 Curtis graduate, joined faculty in 1997"
Curtis Institute of Music,Paul Krzywicki,Trombone Faculty,,,https://www.curtis.edu/person/paul-krzywicki/,URL not logged,Philadelphia Orchestra member until retirement in 2005
Duquesne University,Jeff Bush,Adjunct Professor of Trombone; Assistant Program Director of Jazz Studies,,(412) 396-6080,https://www.duq.edu/faculty-and-staff/jeff-bush.php,URL not logged,Jazz trombone specialist
Duquesne University,James Nova,Adjunct Professor of Trombone,,",https://www.duq.edu/faculty-and-staff/james-nova.php,Pittsburgh Symphony Orchestra member
Duquesne University,Douglas Rosenthal,Adjunct Professor of Trombone,,,https://www.duq.edu/faculty-and-staff/douglas-rosenthal.php,",,URL not logged,
George Mason University,Prof. Aaron Eckert,Adjunct Faculty - Jazz Trombone,,,https://music.gmu.edu/profiles/aeckert,URL not logged,"Aaron Eckert is a trombonist with the U.S. Army Blues, the premier jazz ensemble of the Army"
George Mason University,Prof. Katie Franke,Adjunct Faculty - Trombone,,,https://music.gmu.edu/profiles/kfranke3,URL not logged,"Katie Franke is the first-ever female trombonist and low brass player in the history of ""The President's Own"" United States Marine Band"
